Date,Open,High,Low,Close,Volume,t_point
27-01-2021 20:00,30790,31574.05273,30790,31574.05273,14753,0
27-01-2021 21:00,31620.68555,31620.68555,30976,31029,14976,0
27-01-2021 22:00,31036.7832,31036.7832,30602,30602,14941,0
27-01-2021 23:00,30586.17188,30586.17188,30454,30454,14774,0
28-01-2021 00:00,30454,30749,30344,30749,15038,0
28-01-2021 01:00,30765,30948,30765,30948,15125,0
28-01-2021 02:00,30985.05469,31175,30985.05469,31101,14707,0
28-01-2021 03:00,31084,31476,31084,31476,12864,0
28-01-2021 04:00,31516,31516,31365,31365,12702,0
28-01-2021 05:00,31389,31766,31317,31766,12420,0
28-01-2021 06:00,31792,31792,31641.38086,31641.38086,12438,0
28-01-2021 07:00,31629.87305,31629.87305,31225,31225,12986,0
28-01-2021 08:00,31225,31225,31062,31114,12912,1
28-01-2021 09:00,31122,31530,31122,31530,12396,0
28-01-2021 10:00,31529,31546,31526,31546,12397,0
28-01-2021 11:00,31547,31547,31445,31484,12069,0
28-01-2021 12:00,31498,31530,31498,31530,11548,0
28-01-2021 13:00,31533,31826,31284.91406,31826,11191,0
28-01-2021 14:00,31820,31878,31820,31878,9518,0
28-01-2021 15:00,31878,31915.17578,31878,31915.17578,8880,0
28-01-2021 16:00,31957,32425,31779,32425,8498,0
28-01-2021 17:00,32435,32435,32281.46289,32281.46289,8320,0
28-01-2021 18:00,32275,32649,32275,32649,8251,0
28-01-2021 19:00,32636,32636,32592,32592,7969,0
28-01-2021 20:00,32580,32580,32568,32568,7883,0
28-01-2021 21:00,32561,33143,32561,33143,8243,0
28-01-2021 22:00,33176,33482,33176,33482,8810,0
28-01-2021 23:00,33492,33492,33331,33331,9168,0
